# CREATED_DATE: 2018-03-19T18:54:52.943Z
# MODIFIED_DATE: 2021-10-01T22:11:18.694Z
# STATUS: FollowupFinished
# OBS_GROUP: Unknown
# NON_DETECT_BAND: Gaia-Photometric - G
# BEST_SPEC_CLASS: SN Ia
# PHOTO_CLASS: SN Ia
# CONTEXT_CLASS: None
# BEST_SPECTRUM: None
# HOST: Host: NGC 5861; (15:09:16.09, -11:19:18.01)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: Foundation
# NAME: 2017erp
# RA: 227.311708333333
# DEC: -11.3342222222222
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2017-06-13T15:01:28Z
# REDSHIFT: 0.006174
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2017-03-08T15:00:00Z
# NON_DETECT_LIMIT: 21.5
# MW_EBV: 0.0925
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: None
# POSTAGE_STAMP_REF: None
# POSTAGE_STAMP_DIFF: None
# POSTAGE_STAMP_FILE_FITS: None
# POSTAGE_STAMP_REF_FITS: None
# POSTAGE_STAMP_DIFF_FITS: None
# K2_VALIDATED: None
# K2_MSG: 
# TNS_SPEC_CLASS: SN Ia
# POINT_SOURCE_PROBABILITY: 0.012
# SLUG: 2017erp
# REAL_BOGUS_SCORE: None
# HAS_HST: True
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [11, 13, 19]

VARLIST:  MJD		 FLT  FLUXCAL	FLUXCALERR	  MAG	  MAGERR	 MAGSYS	  TELESCOPE	   INSTRUMENT
OBS:	  57944.502	B	228765.174  1991.268	14.101  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  57944.504	V	328068.701  2258.786	13.710  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  57944.507	gp	284603.531  1834.661	13.864  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  57944.511	rp	287143.003  1772.732	13.854  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  57944.516	ip	151092.697  1175.825	14.552  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  57945.471	B	208570.840  1477.483	14.202  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  57945.477	V	311220.052  1872.585	13.767  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  57945.478	gp	267078.574  1493.241	13.933  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57945.484	rp	268607.234  1470.084	13.928  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57945.486	ip	140220.138  898.769	14.633  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  57949.128	B	144703.279  1130.652	14.599  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  57949.132	V	253940.495  1469.260	13.988  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57949.137	gp	203905.533  1006.230	14.226  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57949.139	rp	223829.866  1124.648	14.126  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57949.142	ip	128423.649  704.414	14.728  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57951.810	B	107945.569  715.112	14.917  0.007	None	Siding_Spring_1m	Sinistro
